dam_size_gb,local_capacity_gb,query_id,migration_duration_ns
10.0,3.0,21,239327732.0
10.0,3.0,22,47029492.8
10.0,4.0,1,175278088.7
10.0,4.0,2,122363683.0
10.0,4.0,3,181131677.2
10.0,4.0,4,193744144.3
10.0,4.0,5,212915657.0
10.0,4.0,6,181195164.5
10.0,4.0,7,220180336.60000002
10.0,4.0,8,222972493.2
10.0,4.0,9,222685444.79999998
10.0,4.0,10,214242868.5
10.0,4.0,11,38489361.0
10.0,4.0,12,204110189.1
10.0,4.0,13,41407469.7
10.0,4.0,14,171630900.1
10.0,4.0,16,95796869.69999999
10.0,4.0,17,207016185.29999998
10.0,4.0,18,145411135.6
10.0,4.0,19,165979099.29999998
10.0,4.0,20,1595053330.2999997
10.0,4.0,21,294329766.6
10.0,4.0,22,47029492.8
10.0,5.0,1,230981126.6
10.0,5.0,2,122363683.0
10.0,5.0,3,273568427.0
10.0,5.0,4,193744144.3
10.0,5.0,5,212915657.0
10.0,5.0,6,181195164.5
10.0,5.0,7,252735197.60000002
10.0,5.0,8,222972493.2
10.0,5.0,9,281565258.79999995
10.0,5.0,10,230324255.9
10.0,5.0,11,38489361.0
10.0,5.0,12,251101401.10000002
10.0,5.0,13,41407469.7
10.0,5.0,14,264067649.89999998
10.0,5.0,16,95796869.69999999
10.0,5.0,17,207016185.29999995
10.0,5.0,18,145411135.6
10.0,5.0,19,258415849.1
10.0,5.0,20,1611635233.5
10.0,5.0,21,349878980.3000001
10.0,5.0,22,47029492.800000004
12.5,1.25,1,66259435.699999996
12.5,1.25,2,122363683.0
12.5,1.25,3,69497212.0
12.5,1.25,4,67111508.6
12.5,1.25,5,67586677.3
12.5,1.25,6,55703037.9
12.5,1.25,7,60415005.900000006
12.5,1.25,8,66572928.00000001
12.5,1.25,9,66177450.0
12.5,1.25,10,66896422.7
12.5,1.25,11,38489361.00000001
12.5,1.25,12,60609854.2
12.5,1.25,13,41407469.7
12.5,1.25,14,62222546.9
12.5,1.25,16,95796869.7
12.5,1.25,17,21644555.9
12.5,1.25,18,65522631.2
12.5,1.25,19,73044219.7
12.5,1.25,20,72733700.4
12.5,1.25,21,149930179.6
12.5,1.25,22,47029492.800000004
12.5,2.5,1,138544376.79999998
12.5,2.5,2,122363683.0
12.5,2.5,3,142207026.0
12.5,2.5,4,138194930.6
12.5,2.5,5,141924573.6
12.5,2.5,6,88758414.69999999
12.5,2.5,7,130782784.19999999
12.5,2.5,8,143426420.2
12.5,2.5,9,141470145.49999997
12.5,2.5,10,137887506.1
12.5,2.5,11,38489361.0
12.5,2.5,12,140396328.60000002
12.5,2.5,13,41407469.7
12.5,2.5,14,78696020.5
12.5,2.5,16,95796869.69999999
12.5,2.5,17,114579435.5
12.5,2.5,18,120040241.0
12.5,2.5,19,132923722.5
12.5,2.5,20,1518700353.9
12.5,2.5,21,218710808.89999998
12.5,2.5,22,47029492.800000004
12.5,3.75,1,175278088.7
12.5,3.75,2,122363683.00000001
12.5,3.75,3,181131677.2
12.5,3.75,4,193744144.3
12.5,3.75,6,181195164.5
12.5,3.75,7,205743985.6
12.5,3.75,8,206499019.6
12.5,3.75,9,192167706.39999998
12.5,3.75,10,206947689.6
12.5,3.75,11,38489361.0
12.5,3.75,12,204110189.10000002
12.5,3.75,13,41407469.7
12.5,3.75,14,171630900.1
12.5,3.75,16,95796869.69999999
12.5,3.75,17,207016185.29999998
12.5,3.75,18,145411135.6
12.5,3.75,19,165979099.29999998
12.5,3.75,20,1508397261.5999997
12.5,3.75,21,278248379.2
12.5,3.75,22,47029492.800000004
12.5,5.0,1,230981126.60000002
12.5,5.0,2,122363683.0
12.5,5.0,3,273568427.0
12.5,5.0,4,193744144.29999998
12.5,5.0,5,212915656.99999997
12.5,5.0,6,181195164.49999997
12.5,5.0,7,252735197.6
12.5,5.0,8,222972493.2
12.5,5.0,9,281565258.8
12.5,5.0,10,230324255.89999998
12.5,5.0,11,38489361.00000001
12.5,5.0,12,251101401.1
12.5,5.0,13,41407469.7
12.5,5.0,14,264067649.89999998
12.5,5.0,16,95796869.69999999
12.5,5.0,17,207016185.3
12.5,5.0,18,145411135.60000002
12.5,5.0,19,258415849.1
12.5,5.0,20,1611635233.4999998
12.5,5.0,21,349878980.3
12.5,5.0,22,47029492.8
12.5,6.25,1,230981126.6
12.5,6.25,2,122363683.00000001
12.5,6.25,3,273568427.0
12.5,6.25,4,193744144.3
12.5,6.25,5,305352406.8000001
12.5,6.25,6,181195164.49999997
12.5,6.25,7,345171947.40000004
12.5,6.25,8,312370045.6
12.5,6.25,9,328556470.79999995
12.5,6.25,10,230324255.9
12.5,6.25,11,38489361.0
12.5,6.25,12,251101401.1
12.5,6.25,13,41407469.7
12.5,6.25,14,264067649.9
12.5,6.25,16,95796869.69999999
12.5,6.25,17,207016185.3
12.5,6.25,18,145411135.60000002
12.5,6.25,19,258415849.09999996
12.5,6.25,20,1701032785.8999999
12.5,6.25,21,349878980.3
12.5,6.25,22,47029492.800000004
