query_id,dam_size_gb,table_size_gb,migration_size_gb,migration_duration_ns
14,12.5,3.75,2.9898701859638095,87179279.0
14,12.5,5.0,4.647855666466057,134587682.0
14,12.5,6.25,4.647855666466057,134405659.0
16,2.5,0.25,0.22954963427037,73964198.0
16,2.5,0.5,0.4531216798350215,83524093.0
16,2.5,0.75,0.4531216798350215,58818461.0
16,2.5,1.0,0.4531216798350215,72325342.0
16,2.5,1.25,0.4531216798350215,60107229.0
16,5.0,0.5,0.4531216798350215,61451316.0
16,5.0,1.0,0.4531216798350215,64502020.0
16,5.0,1.5,0.4531216798350215,71705875.0
16,5.0,2.0,0.4531216798350215,55578428.0
16,5.0,2.5,0.4531216798350215,74055282.0
16,7.5,0.75,0.4531216798350215,57839365.0
16,7.5,1.5,0.4531216798350215,59836317.0
16,7.5,2.25,0.4531216798350215,60335342.0
16,7.5,3.0,0.4531216798350215,74518435.0
16,7.5,3.75,0.4531216798350215,59525627.0
16,10.0,1.0,0.4531216798350215,60218184.0
16,10.0,2.0,0.4531216798350215,80277132.0
16,10.0,3.0,0.4531216798350215,74508459.0
16,10.0,4.0,0.4531216798350215,73945832.0
16,10.0,5.0,0.4531216798350215,58735911.0
16,12.5,1.25,0.4531216798350215,82229195.0
16,12.5,2.5,0.4531216798350215,80675278.0
16,12.5,3.75,0.4531216798350215,84420714.0
16,12.5,5.0,0.4531216798350215,60064384.0
16,12.5,6.25,0.4531216798350215,57202928.0
17,2.5,0.25,0.05631253123283386,2992174.0
17,2.5,0.5,0.33697673957794905,10868754.0
17,2.5,0.75,0.33697673957794905,10916284.0
17,2.5,1.0,0.33697673957794905,10867614.0
17,2.5,1.25,0.33697673957794905,10849925.0
17,5.0,0.5,0.33697673957794905,10880474.0
17,5.0,1.0,0.33697673957794905,10919714.0
17,5.0,1.5,0.33697673957794905,10863804.0
17,5.0,2.0,2.0006817104294896,58560461.0
17,5.0,2.5,2.010155667550862,58652589.0
17,7.5,0.75,0.33697673957794905,10904143.0
17,7.5,1.5,0.33697673957794905,10931033.0
17,7.5,2.25,2.010155667550862,58767006.0
17,7.5,3.0,2.010155667550862,58818494.0
17,7.5,3.75,3.6681411480531096,106257479.0
17,10.0,1.0,0.33697673957794905,11084405.0
17,10.0,2.0,2.0006817104294896,58474219.0
17,10.0,3.0,2.010155667550862,58816554.0
17,10.0,4.0,3.6681411480531096,106311663.0
17,10.0,5.0,3.6681411480531096,106079372.0
17,12.5,1.25,0.33697673957794905,10884796.0
17,12.5,2.5,2.010155667550862,58758999.0
17,12.5,3.75,3.6681411480531096,106138904.0
17,12.5,5.0,3.6681411480531096,106025412.0
17,12.5,6.25,3.6681411480531096,106221246.0
18,2.5,0.25,0.02795938402414322,2413799.0
18,2.5,0.5,0.3086235923692584,10016542.0
18,2.5,0.75,0.588216575793922,18040811.0
18,2.5,1.0,0.8665825072675943,25950491.0
18,2.5,1.25,1.1472467156127095,34079039.0
18,5.0,0.5,0.3086235923692584,10057211.0
18,5.0,1.0,0.8665825072675943,25948451.0
18,5.0,1.5,1.426839699037373,42162017.0
18,5.0,2.0,1.6693014847114682,49196674.0
18,5.0,2.5,2.086480231024325,61121168.0
18,7.5,0.75,0.588216575793922,18034030.0
18,7.5,1.5,1.426839699037373,42162114.0
18,7.5,2.25,2.086480231024325,61178195.0
18,7.5,3.0,2.5052636610344052,73223956.0
18,7.5,3.75,2.5052636610344052,73245944.0
18,10.0,1.0,0.8665825072675943,26287765.0
18,10.0,2.0,1.6693014847114682,49172718.0
18,10.0,3.0,2.5052636610344052,73148500.0
18,10.0,4.0,2.5052636610344052,73045290.0
18,10.0,5.0,2.5052636610344052,73075158.0
18,12.5,1.25,1.1472467156127095,34057944.0
18,12.5,2.5,2.086480231024325,61133858.0
18,12.5,3.75,2.5052636610344052,73056213.0
18,12.5,5.0,2.5052636610344052,73013981.0
18,12.5,6.25,2.5052636610344052,73059598.0
19,2.5,0.25,0.06566793471574783,3159402.0
19,2.5,0.5,0.34680966567248106,11237331.0
19,2.5,0.75,0.6275889910757542,19468039.0
19,2.5,1.0,0.9082531994208694,27712945.0
19,2.5,1.25,1.1882522869855165,35821763.0
19,5.0,0.5,0.34680966567248106,11215911.0
19,5.0,1.0,0.9082531994208694,27768564.0
19,5.0,1.5,1.1882522869855165,35746554.0
